"id","total"
"1",100654,2
"2",100663,0
"3",100706,2
"4",100724,10
"5",100751,0
"6",100830,12
"7",100858,0
"8",101480,10
"9",101587,4
"10",101709,0
"11",101879,0
"12",102094,0
"13",102368,8
"14",102553,8
"15",102614,16
"16",102632,16
"17",104151,10
"18",104179,6
"19",105297,16
"20",105330,6
"21",106245,6
"22",106397,0
"23",106412,12
"24",106458,0
"25",106467,0
"26",106485,8
"27",106704,0
"28",107071,6
"29",107983,2
"30",108092,10
"31",109350,14
"32",109819,0
"33",110422,2
"34",110486,8
"35",110495,4
"36",110510,4
"37",110529,2
"38",110538,2
"39",110547,4
"40",110556,4
"41",110565,2
"42",110574,4
"43",110583,2
"44",110592,4
"45",110608,12
"46",110617,4
"47",110635,2
"48",110644,2
"49",110653,4
"50",110662,4
"51",110671,4
"52",110680,2
"53",110705,4
"54",110714,4
"55",111188,2
"56",113236,2
"57",114433,10
"58",114716,16
"59",115755,4
"60",118912,6
"61",118976,6
"62",121619,6
"63",121886,14
"64",122375,6
"65",122409,2
"66",122597,4
"67",122755,4
"68",122977,2
"69",123299,18
"70",123509,0
"71",123563,14
"72",123572,2
"73",125471,14
"74",126182,16
"75",126289,24
"76",126562,8
"77",126580,8
"78",126614,6
"79",126711,18
"80",126775,6
"81",126818,6
"82",126942,24
"83",127185,10
"84",127556,14
"85",127565,8
"86",127741,10
"87",127820,24
"88",127884,16
"89",127909,24
"90",128106,14
"91",128391,10
"92",128771,0
"93",129020,0
"94",129215,2
"95",130493,0
"96",130776,4
"97",130907,4
"98",130934,12
"99",130943,6
"100",131399,10
"101",132693,8
"102",132903,0
"103",133650,8
"104",133669,12
"105",133951,6
"106",133960,18
"107",134097,0
"108",134130,2
"109",136145,4
"110",136172,2
"111",136400,6
"112",137351,10
"113",137759,18
"114",138354,14
"115",138558,8
"116",138716,2
"117",138789,6
"118",138901,18
"119",139010,12
"120",139250,4
"121",139311,6
"122",139366,6
"123",139463,4
"124",139621,18
"125",139700,6
"126",139719,12
"127",139755,0
"128",139764,2
"129",139861,0
"130",139931,0
"131",139940,0
"132",139959,0
"133",139968,8
"134",140960,8
"135",141264,6
"136",141334,0
"137",141565,6
"138",141574,0
"139",141981,2
"140",142115,10
"141",142276,8
"142",142285,0
"143",142328,16
"144",144005,24
"145",144892,20
"146",145336,10
"147",145600,6
"148",145637,6
"149",145813,6
"150",147703,12
"151",147776,14
"152",148654,16
"153",149222,14
"154",149231,20
"155",149772,12
"156",150136,0
"157",151102,18
"158",151111,10
"159",151306,12
"160",151324,10
"161",151333,12
"162",151342,12
"163",151351,4
"164",151360,16
"165",151379,14
"166",151388,8
"167",152637,8
"168",153603,2
"169",153658,2
"170",154095,0
"171",155025,0
"172",155061,0
"173",155317,0
"174",155399,2
"175",155681,4
"176",156082,8
"177",156125,0
"178",156620,4
"179",157058,16
"180",157085,2
"181",157289,6
"182",157386,2
"183",157401,4
"184",157447,2
"185",157951,6
"186",159009,8
"187",159382,8
"188",159391,6
"189",159416,12
"190",159647,6
"191",159717,6
"192",159939,12
"193",159966,6
"194",159993,8
"195",160038,8
"196",160612,8
"197",160621,6
"198",160630,24
"199",160658,6
"200",160940,16
"201",161217,8
"202",161226,2
"203",161235,14
"204",161244,8
"205",161253,0
"206",161299,6
"207",161341,10
"208",161554,10
"209",161873,8
"210",162007,2
"211",162283,8
"212",162584,0
"213",163204,10
"214",163268,0
"215",163286,0
"216",163338,10
"217",163453,2
"218",163851,0
"219",163912,8
"220",164076,0
"221",165024,0
"222",165820,0
"223",165866,6
"224",166513,0
"225",166629,0
"226",166638,2
"227",166674,0
"228",166692,10
"229",167288,2
"230",167729,0
"231",167987,4
"232",168263,2
"233",168430,0
"234",168607,8
"235",169248,10
"236",169798,4
"237",169910,10
"238",170082,2
"239",170240,12
"240",170444,8
"241",170620,8
"242",170639,8
"243",170976,2
"244",171100,2
"245",171128,2
"246",171137,0
"247",171146,0
"248",171456,4
"249",171483,12
"250",171571,12
"251",172051,6
"252",172200,4
"253",172644,4
"254",172699,6
"255",173124,4
"256",173920,0
"257",174020,2
"258",174066,4
"259",174075,8
"260",174233,4
"261",174251,18
"262",174358,8
"263",174783,6
"264",175078,6
"265",175272,6
"266",175342,2
"267",175616,8
"268",175856,2
"269",176017,0
"270",176035,2
"271",176044,6
"272",176080,0
"273",176372,0
"274",176965,2
"275",177551,12
"276",177940,8
"277",178341,4
"278",178387,10
"279",178396,10
"280",178402,10
"281",178411,10
"282",178420,10
"283",178615,4
"284",178624,6
"285",179557,2
"286",179566,0
"287",180179,8
"288",180416,8
"289",180461,0
"290",180489,8
"291",180522,12
"292",180692,4
"293",180948,0
"294",181215,4
"295",181242,20
"296",181394,0
"297",181400,16
"298",181464,0
"299",181534,2
"300",181783,0
"301",182281,2
"302",182290,2
"303",182306,8
"304",182500,14
"305",183044,4
"306",183062,8
"307",183071,16
"308",183080,2
"309",183257,10
"310",184782,2
"311",185129,2
"312",185262,4
"313",185590,0
"314",185828,0
"315",186201,0
"316",186371,8
"317",186380,6
"318",186399,12
"319",186876,10
"320",187134,2
"321",187444,0
"322",187596,16
"323",187648,6
"324",187745,2
"325",187897,10
"326",187967,4
"327",187985,2
"328",188030,12
"329",188058,10
"330",188304,8
"331",190512,10
"332",190549,10
"333",190558,2
"334",190567,10
"335",190594,10
"336",190600,0
"337",190637,8
"338",190646,6
"339",190655,2
"340",190664,8
"341",190691,4
"342",191126,6
"343",196006,0
"344",196015,6
"345",196024,0
"346",196033,6
"347",196042,0
"348",196051,8
"349",196060,0
"350",196079,0
"351",196088,0
"352",196097,0
"353",196103,2
"354",196112,2
"355",196121,0
"356",196130,0
"357",196149,0
"358",196158,2
"359",196167,0
"360",196176,0
"361",196185,0
"362",196194,0
"363",196200,2
"364",196219,0
"365",196237,2
"366",196246,0
"367",196264,6
"368",196291,0
"369",197027,2
"370",197869,0
"371",198464,0
"372",198507,8
"373",198543,0
"374",199102,0
"375",199111,0
"376",199120,8
"377",199139,2
"378",199148,0
"379",199157,2
"380",199184,0
"381",199193,0
"382",199218,0
"383",199281,0
"384",199999,0
"385",200004,0
"386",200059,8
"387",200086,8
"388",200226,6
"389",200253,16
"390",200280,4
"391",200332,0
"392",200572,4
"393",200800,6
"394",201441,8
"395",201690,10
"396",201885,2
"397",202134,6
"398",203447,18
"399",203456,18
"400",203465,18
"401",203474,18
"402",203483,18
"403",203492,18
"404",203517,6
"405",203526,12
"406",203748,10
"407",204006,18
"408",204015,24
"409",204024,10
"410",204671,20
"411",204680,8
"412",204699,10
"413",204705,10
"414",204796,10
"415",204802,24
"416",204820,16
"417",204839,22
"418",204848,16
"419",204857,2
"420",204866,20
"421",205443,18
"422",206084,10
"423",206604,22
"424",206613,10
"425",206695,18
"426",206914,14
"427",206941,8
"428",207041,16
"429",207209,10
"430",207263,10
"431",207306,14
"432",207351,14
"433",207388,6
"434",207397,8
"435",207500,6
"436",207564,10
"437",207661,14
"438",207722,8
"439",207847,20
"440",207865,6
"441",208646,10
"442",209506,0
"443",209542,0
"444",209551,4
"445",209807,2
"446",210146,14
"447",210429,8
"448",211158,0
"449",211361,10
"450",211608,10
"451",211644,8
"452",212115,4
"453",212160,8
"454",213020,10
"455",213349,10
"456",213598,6
"457",213613,6
"458",213783,8
"459",214041,2
"460",214591,6
"461",214625,14
"462",214634,16
"463",214643,12
"464",214652,14
"465",214670,10
"466",214689,14
"467",214698,16
"468",214704,14
"469",214713,8
"470",214731,8
"471",214740,12
"472",214759,12
"473",214768,14
"474",214777,6
"475",214786,20
"476",214795,12
"477",214801,8
"478",214810,22
"479",214829,8
"480",215266,8
"481",215275,8
"482",215284,6
"483",215293,6
"484",216010,6
"485",216038,2
"486",216339,6
"487",216764,2
"488",217420,0
"489",217484,0
"490",217819,4
"491",217864,0
"492",217882,2
"493",218061,10
"494",218229,2
"495",218645,0
"496",218654,2
